epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1638.2,0.989,1.09751,1.13758,0.60486,0.18098,0.26304,0.0861,2.24979,3.20944,2.13037,0.000358238,0.000358238,0.000358238
72,1662.2,0.96335,1.08681,1.15638,0.50298,0.17132,0.2552,0.08075,2.23029,3.22486,2.12002,0.000351639,0.000351639,0.000351639
73,1685.04,0.95129,1.11006,1.16886,0.50298,0.17132,0.2552,0.08075,2.23029,3.22486,2.12002,0.000344709,0.000344709,0.000344709
74,1707.52,0.93952,1.03533,1.1008,0.44932,0.18382,0.26478,0.07058,2.2623,3.21617,2.17277,0.000337449,0.000337449,0.000337449
75,1729.42,0.82735,0.98848,1.07026,0.44932,0.18382,0.26478,0.07058,2.2623,3.21617,2.17277,0.000329859,0.000329859,0.000329859
76,1751.51,0.94467,1.06513,1.11797,0.42687,0.20427,0.28473,0.07711,2.28498,3.25763,2.22921,0.000321939,0.000321939,0.000321939
77,1773.67,0.92181,1.0435,1.11581,0.42687,0.20427,0.28473,0.07711,2.28498,3.25763,2.22921,0.000313689,0.000313689,0.000313689
78,1795.54,0.89057,1.00649,1.12378,0.49694,0.22654,0.29056,0.09491,2.37026,3.27441,2.33853,0.000305109,0.000305109,0.000305109
79,1817.5,0.90827,0.9861,1.0813,0.49694,0.22654,0.29056,0.09491,2.37026,3.27441,2.33853,0.000296199,0.000296199,0.000296199
80,1839.74,0.85783,0.94286,1.10483,0.40835,0.22206,0.27821,0.10857,2.42528,3.27421,2.37435,0.000286959,0.000286959,0.000286959
81,1861.53,0.89368,0.96215,1.11072,0.40835,0.22206,0.27821,0.10857,2.42528,3.27421,2.37435,0.000277389,0.000277389,0.000277389
82,1883.49,0.96449,1.02886,1.12948,0.41207,0.25147,0.27939,0.11663,2.41216,3.21116,2.37024,0.000267488,0.000267488,0.000267488
83,1905.32,0.89362,0.95971,1.14048,0.41207,0.25147,0.27939,0.11663,2.41216,3.21116,2.37024,0.000257258,0.000257258,0.000257258
84,1927.7,0.86031,0.98285,1.12092,0.42054,0.26397,0.29921,0.11884,2.37263,3.15087,2.32085,0.000246698,0.000246698,0.000246698
